Department/Unit,Type,Division,Faculty Listing Link,Researcher Link

Completed:

Anthropology,Department,SS,https://www.anth.ucsb.edu/people/academic,
Art,Department,HFA,https://www.arts.ucsb.edu/faculty/,
Asian American Studies,Department,SS,https://www.asamst.ucsb.edu/people,
Black Studies,Department,SS,https://www.blackstudies.ucsb.edu/people/academic,
Computer Science,Department,ENG,https://www.cs.ucsb.edu/people/faculty,
Economics,Department,SS,https://www.econ.ucsb.edu/people/faculty,
"Ecology, Evolution, and Marine Biology",Department,MLPS,https://www.eemb.ucsb.edu/people/faculty,
Earth Science,Department,MLPS,https://www.geol.ucsb.edu/people/faculty,
Geography,Department,MLPS,https://www.geog.ucsb.edu/people/faculty,https://www.geog.ucsb.edu/people/researchers
Marine Science Graduate Program,Inter Departmental Program,MLPS,https://www.igpms.ucsb.edu/people/core-faculty,
Physics,Department,MLPS,https://www.physics.ucsb.edu/people/faculty,
Electrical and Computer Engineering,Department,ENG,https://www.ece.ucsb.edu/people/faculty,
English,Department,HFA,https://www.english.ucsb.edu/people/faculty/,

In progress:
Developmental Biology,Department,,https://www.mcdb.ucsb.edu/people/faculty, (drupalDir) //no


Communication,Department,SS,https://www.comm.ucsb.edu/people/faculty, (comm)
Environmental Studies,Department,MLPS,https://es.ucsb.edu/index.php/people/faculty, (DrupalDir)

Need updated links:
Chemistry and Biochemistry,Department,MLPS,https://www.chem.ucsb.edu/people/academic,https://www.chem.ucsb.edu/people/researcher
Chicana and Chicano Studies,Department,SS,https://www.chicst.ucsb.edu/people/academic,
Comparative Literature,Program,HFA,https://complit.ucsb.edu/people/affiliated,
Dance,Department,HFA,https://www.theaterdance.ucsb.edu/people/academic,
French and Italian,Department,HFA,https://www.frit.ucsb.edu/all-faculty,
Global and International Studies,Department,SS,https://www.global.ucsb.edu/people/academic,
Mathematics,Department,MLPS,https://www.math.ucsb.edu/people/academic,
Middle East Studies,Program,HFA,https://www.religion.ucsb.edu/people/faculty/,
Philosophy,Department,HFA,https://www.philosophy.ucsb.edu/people/academic,
Political Science,Department,SS,https://www.polsci.ucsb.edu/people/academic,
Theater,Department,HFA,https://www.theaterdance.ucsb.edu/people/academic,


To Do:
Biomolecular Science and Engineering,Inter Departmental Program,MLPS,https://www.bmse.ucsb.edu/people,
Classics,Department,HFA,https://www.classics.ucsb.edu/people/faculty/,


Dynamical Neurosience,Inter Departmental Program,MLPS,,
East Asian Languages and Cultural Studies,Department,HFA,https://www.eastasian.ucsb.edu/people/faculty/,
English for Multilingual Students,Program,HFA,https://www.ems.ucsb.edu/people,
Exercise & Sport Studies,Department,SS,,
Feminist Studies,Department,SS,https://femst.ucsb.edu/people/academic,
Film and Media Studies,Department,HFA,https://www.filmandmedia.ucsb.edu/people/faculty/,
Germanic and Slavic Studies,Department,HFA,https://gss.ucsb.edu/faculty,



History,Department,HFA,https://www.history.ucsb.edu/directory/faculty/,
History of Art and Architecture,Department,HFA,https://www.arthistory.ucsb.edu/people/academic,
Jewish Studies,Program,HFA,https://www.jewishstudies.ucsb.edu/people,
Latin American and Iberian Studies,Program,HFA,https://lais.ucsb.edu/faculty/,
Linguistics,Department,HFA,https://www.linguistics.ucsb.edu/people/academic,
Media Arts and Technology,Program,HFA,https://www.mat.ucsb.edu/faculty/,
Medieval Studies,Program,HFA,https://medievalstudies.ucsb.edu/people-2/affiliated-faculty-2/,
Military Science (ROTC),Department,SS,https://www.milsci.ucsb.edu/people,
"Molecular, Cellular, and Developmental Biology",Department,MLPS,https://www.mcdb.ucsb.edu/people/faculty,
Music,Department,HFA,https://music.ucsb.edu/people/faculty,
Psychological & Brain Sciences,Department,MLPS,https://psych.ucsb.edu/people,
Religious Studies,Department,HFA,https://www.religion.ucsb.edu/people/faculty/,
Renaissance Studies,Program,SS,http://renaissancestudies.ucsb.edu/faculty.html,
Sociology,Department,SS,https://www.soc.ucsb.edu/people#faculty,
Spanish and Portuguese,Department,HFA,https://www.spanport.ucsb.edu/people/academic,
Statistics and Applied Probability,Department,MLPS,https://www.pstat.ucsb.edu/people/academic,
Writing Program,Program,HFA,https://www.writing.ucsb.edu/people/academic,
Chemical Engineering,Department,ENG,https://www.chemengr.ucsb.edu/people/faculty,
Materials,Department,ENG,https://www.materials.ucsb.edu/people/faculty,
Mechanical Engineering,Department,ENG,https://me.ucsb.edu/people?tid=5,
Technology Management,Program,ENG,https://tmp.ucsb.edu/technology-management-people,
College of Creative Studies,School,CCS,https://ccs.ucsb.edu/people,
Bren School of Environmental Science,School,Bren,https://bren.ucsb.edu/people/faculty,
Gevirtz Graduate School of Education ,Department,GGE,https://education.ucsb.edu/research-faculty/faculty,
